"year","month_name","month_date","month","market_inflation_expectation","consumer_inflation_expectation","ipca","selic","ibc_br","gov_debt","household_debt","household_income","pib","usd_brl","ipca_lag","selic_lag"
2006,"Jan",2006-01-01,2006,4.58,6.9,5.7,17.65,113.56,46.68,19.89,167991,2190643.1,2.2152,5.69,18.24
2006,"Feb",2006-02-01,2006.08333333333,4.49,7,5.51,17.28,113.72,46.38,20.11,169200,2207671.2,2.1347,5.7,17.65
2006,"Mar",2006-03-01,2006.16666666667,4.36,6.9,5.32,16.74,113.48,46.38,20.45,166456,2225144.6,2.1716,5.51,17.28
2006,"Apr",2006-04-01,2006.25,4.16,6.5,4.63,16.19,114.33,45.59,20.78,165894,2235812.9,2.0884,5.32,16.74
2006,"May",2006-05-01,2006.33333333333,4.18,6.7,4.23,15.7,115.65,46.21,21.07,165256,2256419.1,2.2997,4.63,16.19
2006,"Jun",2006-06-01,2006.41666666667,4.25,6.3,4.03,15.18,114.33,45.69,21.16,166771,2271564,2.1635,4.23,15.7
2006,"Jul",2006-07-01,2006.5,4.4,6.9,3.97,14.98,116.58,45.58,21.39,169373,2293390.2,2.1754,4.03,15.18
2006,"Aug",2006-08-01,2006.58333333333,4.48,6.4,3.84,14.66,116.57,45.34,21.65,170215,2315471.6,2.138,3.97,14.98
2006,"Sep",2006-09-01,2006.66666666667,4.29,6.3,3.7,14.17,116.71,45.44,21.74,173375,2336552.6,2.1734,3.84,14.66
2006,"Oct",2006-10-01,2006.75,4.05,5.8,3.26,13.95,118.14,44.94,21.85,175694,2362641.2,2.1422,3.7,14.17
2006,"Nov",2006-11-01,2006.83333333333,4.12,5.7,3.02,13.65,118.9,45,22.07,179420,2387208,2.166,3.26,13.95
2006,"Dec",2006-12-01,2006.91666666667,4.12,5.7,3.14,13.19,120.71,45.29,21.98,187936,2409449.9,2.1372,3.02,13.65
2007,"Jan",2007-01-01,2007,4.02,5.7,2.99,13.13,120.02,45.29,22.28,189265,2434411.5,2.1239,3.14,13.19
2007,"Feb",2007-02-01,2007.08333333333,3.91,5.7,3.02,12.93,120.37,45.2,22.48,191683,2458966.9,2.1174,2.99,13.13
2007,"Mar",2007-03-01,2007.16666666667,3.75,5.3,2.96,12.74,119.49,44.76,22.04,194270,2486602.5,2.0496,3.02,12.93
2007,"Apr",2007-04-01,2007.25,3.58,5.2,3,12.58,121.05,43.97,22.36,197504,2516940.7,2.0331,2.96,12.74
2007,"May",2007-05-01,2007.33333333333,3.43,5.7,3.18,12.43,122.19,43.42,22.88,200020,2545742,1.9281,3,12.58
2007,"Jun",2007-06-01,2007.41666666667,3.47,5.7,3.69,12.03,122.99,43.03,23.09,203626,2575280.3,1.9254,3.18,12.43
2007,"Jul",2007-07-01,2007.5,3.57,4.8,3.74,11.73,123.83,42.68,23.57,208299,2602697.5,1.8768,3.69,12.03
2007,"Aug",2007-08-01,2007.58333333333,3.68,4.9,4.18,11.43,124.14,42.77,23.77,212762,2627804.4,1.9612,3.74,11.73
2007,"Sep",2007-09-01,2007.66666666667,3.82,5.2,4.15,11.22,125.07,42.5,23.97,218133,2649278.5,1.8381,4.18,11.43
2007,"Oct",2007-10-01,2007.75,3.82,6,4.12,11.18,126.3,43.08,24.56,221096,2675926.6,1.7432,4.15,11.22
2007,"Nov",2007-11-01,2007.83333333333,3.92,6.4,4.19,11.18,126.18,43.04,24.88,224958,2698213,1.7829,4.12,11.18
2007,"Dec",2007-12-01,2007.91666666667,4.18,5.5,4.46,11.18,127.6,43.43,24.96,235262,2720262.9,1.7705,4.19,11.18
2008,"Jan",2008-01-01,2008,4.28,5.6,4.56,11.18,127.58,42.72,25.29,237659,2746426,1.7595,4.46,11.18
