month_date,search_term_inflation,search_term_ipca,search_term_igpm
2004-01-01,41,21,86
2004-02-01,39,13,80
2004-03-01,60,4,60
2004-04-01,57,14,68
2004-05-01,66,19,72
2004-06-01,71,11,59
2004-07-01,34,14,61
2004-08-01,45,21,64
2004-09-01,54,20,61
2004-10-01,54,13,61
2004-11-01,81,18,55
2004-12-01,33,16,68
2005-01-01,37,23,79
2005-02-01,30,25,67
2005-03-01,48,21,66
2005-04-01,52,12,61
2005-05-01,70,22,65
2005-06-01,60,18,63
2005-07-01,26,16,58
2005-08-01,40,17,59
2005-09-01,59,13,55
2005-10-01,46,16,46
2005-11-01,55,14,47
2005-12-01,32,16,56
2006-01-01,24,19,64
2006-02-01,28,18,54
2006-03-01,39,14,50
2006-04-01,42,14,45
2006-05-01,49,17,50
2006-06-01,40,11,44
2006-07-01,20,12,39
2006-08-01,41,13,44
2006-09-01,28,11,41
2006-10-01,37,12,38
2006-11-01,48,12,36
2006-12-01,20,11,32
2007-01-01,18,14,47
2007-02-01,19,10,41
2007-03-01,34,11,39
2007-04-01,28,11,34
2007-05-01,34,12,36
2007-06-01,29,10,34
2007-07-01,17,10,34
2007-08-01,28,9,34
2007-09-01,28,9,29
2007-10-01,29,11,33
2007-11-01,31,7,32
2007-12-01,18,9,32
2008-01-01,18,12,46
2008-02-01,19,11,42
2008-03-01,24,11,36
2008-04-01,31,11,37
2008-05-01,33,12,38
2008-06-01,43,12,45
2008-07-01,29,13,46
2008-08-01,29,12,48
2008-09-01,33,12,47
2008-10-01,27,10,45
2008-11-01,31,10,35
2008-12-01,17,9,43
2009-01-01,18,13,59
2009-02-01,16,11,49
2009-03-01,22,12,46
2009-04-01,21,10,40
2009-05-01,22,10,40
2009-06-01,23,10,39
2009-07-01,14,8,39
2009-08-01,15,8,36
2009-09-01,19,11,31
2009-10-01,21,10,32
2009-11-01,22,9,29
2009-12-01,17,9,27
2010-01-01,14,12,30
2010-02-01,14,10,31
2010-03-01,18,10,32
2010-04-01,21,10,28
2010-05-01,25,11,32
2010-06-01,20,10,32
2010-07-01,12,10,28
2010-08-01,16,12,32
2010-09-01,19,11,29
2010-10-01,22,9,30
2010-11-01,27,11,31
2010-12-01,18,10,39
2011-01-01,14,9,40
2011-02-01,17,9,34
2011-03-01,17,8,30
2011-04-01,24,8,29
2011-05-01,30,10,31
2011-06-01,24,8,28
2011-07-01,13,8,30
2011-08-01,16,8,29
2011-09-01,19,8,27
2011-10-01,19,7,27
2011-11-01,21,9,26
2011-12-01,14,8,25
2012-01-01,14,9,32
2012-02-01,13,9,29
2012-03-01,16,9,28
2012-04-01,16,8,23
2012-05-01,19,9,26
2012-06-01,16,8,23
2012-07-01,10,7,24
2012-08-01,15,8,24
2012-09-01,15,7,24
2012-10-01,16,7,24
2012-11-01,18,7,22
2012-12-01,14,7,21
2013-01-01,14,10,33
2013-02-01,15,8,26
