"year","month_name","month_date","month","market_inflation_expectation","consumer_inflation_expectation","consumer_confidence_index","inflation_target","inflation_target_lower_bound","inflation_target_upper_bound","inflation_target_wtd_avg","inflation_target_lower_bound_wtd_avg","inflation_target_upper_bound_wtd_avg","ipca","selic","selic_deflated","real_household_income","real_household_income_trend","real_household_income_gap","real_exchange_rate","real_exchange_rate_trend","real_exchange_rate_gap","gdp","primary_fiscal_result","primary_fiscal_result_to_gdp","search_term_ipca","search_term_selic","search_term_inflation","ipca_lag","selic_deflated_lag","primary_fiscal_result_to_gdp_lag","real_exchange_rate_gap_lag","real_household_income_gap_lag","consumer_confidence_index_lag"
2006,"Jan",2006-01-01,2006,4.58,6.9,93.3,4.5,2.5,6.5,4.5,2.5,6.5,5.7,17.65,11.3055818353831,3745246.97079233,3676311.42144073,1.8751281229757,100.68,98.4056714691121,2.31117627361734,2190643.1,1022617.57,0.4668,26,37,24,5.69,11.8743495127259,0.4654,2.14509163458403,2.01167772536661,88.7
2006,"Feb",2006-02-01,2006.08333333333,4.49,7,92.8,4.5,2.5,6.5,4.5,2.5,6.5,5.51,17.28,11.1553407259976,3751121.56008364,3702449.92516587,1.31457915438482,95.44,98.0303034533666,-2.64234972464287,2207671.2,1023883.68,0.4638,25,38,27,5.7,11.3055818353831,0.4668,2.31117627361734,1.8751281229757,93.3
2006,"Mar",2006-03-01,2006.16666666667,4.36,6.9,93,4.5,2.5,6.5,4.5,2.5,6.5,5.32,16.74,10.843144701861,3759979.28834336,3728590.09397591,0.841851573283847,95.29,97.654985686208,-2.42177669638636,2225144.6,1032060.29,0.4638,19,56,40,5.51,11.1553407259976,0.4638,-2.64234972464287,1.31457915438482,92.8
2006,"Apr",2006-04-01,2006.25,4.16,6.5,91.8,4.5,2.5,6.5,4.5,2.5,6.5,4.63,16.19,11.0484564656408,3773571.4123274,3754733.4019211,0.501713660859671,95.14,97.2797320794361,-2.19956617241587,2235812.9,1019291.28,0.4559,19,41,47,5.32,10.843144701861,0.4638,-2.42177669638636,0.841851573283847,93
2006,"May",2006-05-01,2006.33333333333,4.18,6.7,90.7,4.5,2.5,6.5,4.5,2.5,6.5,4.23,15.7,11.0045092583709,3794289.29557405,3780881.56525224,0.354619156681135,99.31,96.9045382965041,2.48230036052164,2256419.1,1042621.49,0.4621,23,42,59,4.63,11.0484564656408,0.4559,-2.19956617241587,0.501713660859671,91.8
2006,"Jun",2006-06-01,2006.41666666667,4.25,6.3,90.7,4.5,2.5,6.5,4.5,2.5,6.5,4.03,15.18,10.7180620974719,3818831.1665829,3807036.44557518,0.309813714061846,102.35,96.529383490587,6.02989089843362,2271564,1037934.84,0.4569,15,45,45,4.23,11.0045092583709,0.4621,2.48230036052164,0.354619156681135,90.7
2006,"Jul",2006-07-01,2006.5,4.4,6.9,91.2,4.5,2.5,6.5,4.5,2.5,6.5,3.97,14.98,10.5895931518707,3845856.5797902,3833200.00795044,0.330182923236588,100.12,96.1542653755212,4.12434602769938,2293390.2,1045318.25,0.4558,16,43,21,4.03,10.7180620974719,0.4569,6.02989089843362,0.309813714061846,90.7
2006,"Aug",2006-08-01,2006.58333333333,4.48,6.4,91.8,4.5,2.5,6.5,4.5,2.5,6.5,3.84,14.66,10.4198767334361,3872965.4346042,3859374.30844723,0.352158797534319,99.2,95.7792265773073,3.5715191539281,2315471.6,1049893.42,0.4534,17,38,43,3.97,10.5895931518707,0.4558,4.12434602769938,0.330182923236588,91.2
2006,"Sep",2006-09-01,2006.66666666667,4.29,6.3,91.5,4.5,2.5,6.5,4.5,2.5,6.5,3.7,14.17,10.0964320154291,3910254.94811766,3885561.50079346,0.635518118015943,99.14,95.4043403217504,3.91560768163282,2336552.6,1061646.39,0.4544,15,44,30,3.84,10.4198767334361,0.4534,3.5715191539281,0.352158797534319,91.8
2006,"Oct",2006-10-01,2006.75,4.05,5.8,94.3,4.5,2.5,6.5,4.5,2.5,6.5,3.26,13.95,10.3525082316483,3935967.34001782,3911763.84358687,0.618736135378528,97.72,95.029706229512,2.83100293290452,2362641.2,1061724.39,0.4494,18,43,41,3.7,10.0964320154291,0.4544,3.91560768163282,0.635518118015943,91.5
2006,"Nov",2006-11-01,2006.83333333333,4.12,5.7,96,4.5,2.5,6.5,4.5,2.5,6.5,3.02,13.65,10.3183847796544,3953181.80516308,3937983.78596104,0.385934021775602,98.62,94.655452745788,4.18839817380561,2387208,1074336.32,0.45,17,30,50,3.26,10.3525082316483,0.4494,2.83100293290452,0.618736135378528,94.3
2006,"Dec",2006-12-01,2006.91666666667,4.12,5.7,98.3,4.5,2.5,6.5,4.5,2.5,6.5,3.14,13.19,9.74403723094821,3968693.10801109,3964223.96380494,0.112736925233281,99.29,94.2817290742142,5.31202702258837,2409449.9,1091255.36,0.4529,16,28,23,3.02,10.3183847796544,0.45,4.18839817380561,0.385934021775602,96
2007,"Jan",2007-01-01,2007,4.02,5.7,97.5,4.5,2.5,6.5,4.5,2.5,6.5,2.99,13.13,9.84561607923098,3986089.3325936,3990487.13027617,-0.110207038363985,97.85,93.9087150090686,4.19693208511132,2434411.5,1102636.37,0.4529,19,28,21,3.14,9.74403723094821,0.4529,5.31202702258837,0.112736925233281,98.3
2007,"Feb",2007-02-01,2007.08333333333,3.91,5.7,98.5,4.5,2.5,6.5,4.5,2.5,6.5,3.02,12.93,9.61949136090079,4007762.57678224,4016776.07301651,-0.224396283746509,95.85,93.5366289886953,2.47322469958187,2458966.9,1111459.95,0.452,15,31,20,2.99,9.84561607923098,0.4529,4.19693208511132,-0.110207038363985,97.5
2007,"Mar",2007-03-01,2007.16666666667,3.75,5.3,96,4.5,2.5,6.5,4.5,2.5,6.5,2.96,12.74,9.49883449883449,4033013.06589578,4043093.5457341,-0.24932591156468,96.14,93.1657198625875,3.19246192891478,2486602.5,1112960.56,0.4476,15,33,38,3.02,9.61949136090079,0.452,2.47322469958187,-0.224396283746509,98.5
2007,"Apr",2007-04-01,2007.25,3.58,5.2,96,4.5,2.5,6.5,4.5,2.5,6.5,3,12.58,9.30097087378641,4061438.0538984,4069442.23258849,-0.196689822157825,94.59,92.7962543303238,1.93299361339634,2516940.7,1106671.09,0.4397,15,38,34,2.96,9.49883449883449,0.4476,3.19246192891478,-0.24932591156468,96
2007,"May",2007-05-01,2007.33333333333,3.43,5.7,98.7,4.5,2.5,6.5,4.5,2.5,6.5,3.18,12.43,8.9649156813336,4087533.57165086,4095824.73995776,-0.202429762826772,92.5,92.428522041175,0.0773332270672222,2545742,1105428.31,0.4342,16,38,38,3,9.30097087378641,0.4397,1.93299361339634,-0.196689822157825,96
2007,"Jun",2007-06-01,2007.41666666667,3.47,5.7,100.1,4.5,2.5,6.5,4.5,2.5,6.5,3.69,12.03,8.04320570932589,4111119.59420176,4122243.61245935,-0.269853490074223,90.12,92.0628264850423,-2.11032678358837,2575280.3,1108049.12,0.4303,12,40,31,3.18,8.9649156813336,0.4342,0.0773332270672222,-0.202429762826772,98.7
2007,"Jul",2007-07-01,2007.5,3.57,4.8,98.6,4.5,2.5,6.5,4.5,2.5,6.5,3.74,11.73,7.70194717563137,4137414.17227335,4148701.33073563,-0.272064859879362,88.84,91.6994717033542,-3.11830771785089,2602697.5,1110791.71,0.4268,13,38,19,3.69,8.04320570932589,0.4303,-2.11032678358837,-0.269853490074223,100.1
2007,"Aug",2007-08-01,2007.58333333333,3.68,4.9,99.4,4.5,2.5,6.5,4.5,2.5,6.5,4.18,11.43,6.95910923401806,4168714.86118782,4175200.2895955,-0.155332150743459,92.25,91.3387467465939,0.997663407769567,2627804.4,1123920.11,0.4277,12,34,33,3.74,7.70194717563137,0.4268,-3.11830771785089,-0.272064859879362,98.6
2007,"Sep",2007-09-01,2007.66666666667,3.82,5.2,99.7,4.5,2.5,6.5,4.5,2.5,6.5,4.15,11.22,6.78828612578013,4187882.02693688,4201742.79675559,-0.329881444181079,89.92,90.9809186014201,-1.16608912915896,2649278.5,1125937.87,0.425,12,36,31,4.18,6.95910923401806,0.4277,0.997663407769567,-0.155332150743459,99.4
2007,"Oct",2007-10-01,2007.75,3.82,6,101.6,4.5,2.5,6.5,4.5,2.5,6.5,4.12,11.18,6.78063772570112,4211720.37245752,4228331.10989064,-0.392843819498268,86.17,90.6262612857669,-4.91718539697359,2675926.6,1152686.61,0.4308,14,30,31,4.15,6.78828612578013,0.425,-1.16608912915896,-0.329881444181079,99.7
2007,"Nov",2007-11-01,2007.83333333333,3.92,6.4,103.1,4.5,2.5,6.5,4.5,2.5,6.5,4.19,11.18,6.70889720702561,4236737.217307,4254967.37972501,-0.428444234493519,86.19,90.2750406314668,-4.52510528147348,2698213,1161273.55,0.4304,10,30,34,4.12,6.78063772570112,0.4308,-4.91718539697359,-0.392843819498268,101.6
2007,"Dec",2007-12-01,2007.91666666667,4.18,5.5,109,4.5,2.5,6.5,4.5,2.5,6.5,4.46,11.18,6.43308443423318,4278903.60028048,4281653.62881379,-0.0642281877917927,86.66,89.9274880856212,-3.63346976011409,2720262.9,1181418.39,0.4343,12,23,19,4.19,6.70889720702561,0.4304,-4.52510528147348,-0.428444234493519,103.1
2008,"Jan",2008-01-01,2008,4.28,5.6,104.1,4.5,2.5,6.5,4.5,2.5,6.5,4.56,11.18,6.33129303749043,4284807.62836255,4308391.73904722,-0.547399403608861,86.19,89.5838035749561,-3.78841201145966,2746426,1173193.13,0.4272,16,18,19,4.46,6.43308443423318,0.4343,-3.63346976011409,-0.0642281877917927,109
2008,"Feb",2008-02-01,2008.08333333333,4.27,5.8,105.9,4.5,2.5,6.5,4.5,2.5,6.5,4.61,11.18,6.28047031832519,4298678.35665801,4335183.57109622,-0.84206848082754,85.36,89.244161814098,-4.35228673242397,2776859.2,1187260,0.4276,14,21,20,4.56,6.33129303749043,0.4272,-3.78841201145966,-0.547399403608861,104.1
2008,"Mar",2008-03-01,2008.16666666667,4.31,6.4,109.7,4.5,2.5,6.5,4.5,2.5,6.5,4.73,11.18,6.15869378401603,4310077.02414945,4362030.80365551,-1.19104568134919,86.32,88.9087113309173,-2.91165094192193,2800895.2,1175814.84,0.4198,15,26,27,4.61,6.28047031832519,0.4276,-4.35228673242397,-0.84206848082754,105.9
